epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.33456,2.2263,2.466,1.72389,0.56595,0.58464,0.53939,0.2218,1.92428,1.95847,1.61239,0.000660377,0.000660377,0.000660377
2,52.3612,1.9269,1.80161,1.51317,0.63334,0.5921,0.618,0.27407,1.88633,1.71684,1.60309,0.00132266,0.00132266,0.00132266
3,58.0477,1.88323,1.67975,1.49063,0.67073,0.60254,0.64847,0.29245,1.90404,1.79992,1.61041,0.00198055,0.00198055,0.00198055
4,63.6541,1.86956,1.64112,1.48416,0.6504,0.57345,0.60957,0.26618,1.96392,1.71029,1.59945,0.0019802,0.0019802,0.0019802
5,69.2771,1.82447,1.56617,1.45229,0.66685,0.60477,0.6514,0.28839,1.9269,1.68267,1.59151,0.0019736,0.0019736,0.0019736
6,74.9139,1.7876,1.52037,1.4432,0.64931,0.61854,0.63905,0.29683,1.90536,1.54154,1.57429,0.001967,0.001967,0.001967
7,80.5035,1.7587,1.45158,1.43186,0.73056,0.66667,0.7418,0.36753,1.73952,1.35517,1.4981,0.0019604,0.0019604,0.0019604
8,86.0904,1.73079,1.41641,1.39574,0.7339,0.67114,0.71972,0.3538,1.82112,1.45455,1.53412,0.0019538,0.0019538,0.0019538
9,91.64,1.74148,1.42299,1.41726,0.75085,0.65175,0.7128,0.34386,1.83357,1.54385,1.53007,0.0019472,0.0019472,0.0019472
10,97.1764,1.69802,1.3809,1.39201,0.75058,0.67321,0.75105,0.35499,1.8395,1.34564,1.52623,0.0019406,0.0019406,0.0019406
11,102.708,1.69493,1.353,1.37922,0.78315,0.65772,0.75527,0.38944,1.71277,1.30411,1.48435,0.001934,0.001934,0.001934
12,108.307,1.70495,1.35418,1.38506,0.72659,0.6718,0.72101,0.33745,1.86132,1.68136,1.58607,0.0019274,0.0019274,0.0019274
13,113.851,1.7084,1.35441,1.38659,0.77324,0.65858,0.74504,0.38172,1.75059,1.42388,1.49547,0.0019208,0.0019208,0.0019208
14,119.435,1.66699,1.28836,1.36237,0.75977,0.64653,0.74002,0.36802,1.7608,1.30052,1.47809,0.0019142,0.0019142,0.0019142
15,125.001,1.6534,1.286,1.35223,0.74273,0.66518,0.73154,0.37324,1.74651,1.41358,1.47714,0.0019076,0.0019076,0.0019076
16,130.557,1.63026,1.26688,1.34188,0.71907,0.6704,0.73354,0.36311,1.77658,1.4068,1.5137,0.001901,0.001901,0.001901
17,136.104,1.63953,1.26393,1.34793,0.76674,0.68084,0.76739,0.39874,1.74177,1.2122,1.46842,0.0018944,0.0018944,0.0018944
18,141.696,1.65179,1.27275,1.36087,0.78167,0.71066,0.78805,0.43425,1.62174,1.16966,1.42175,0.0018878,0.0018878,0.0018878
19,147.233,1.59947,1.24,1.33213,0.75821,0.69685,0.76033,0.38675,1.74695,1.29391,1.46554,0.0018812,0.0018812,0.0018812
20,152.769,1.61075,1.23057,1.33397,0.75832,0.7113,0.7727,0.40962,1.68952,1.19066,1.44913,0.0018746,0.0018746,0.0018746
21,158.316,1.59479,1.22131,1.31699,0.77729,0.67711,0.77387,0.42062,1.67441,1.22972,1.44676,0.001868,0.001868,0.001868
22,163.868,1.59866,1.22269,1.32782,0.74406,0.69128,0.76509,0.40125,1.72333,1.26722,1.44964,0.0018614,0.0018614,0.0018614
23,169.412,1.5888,1.21903,1.32303,0.77024,0.71247,0.77566,0.4098,1.71809,1.21311,1.47483,0.0018548,0.0018548,0.0018548
24,174.969,1.59561,1.21162,1.322,0.75939,0.65474,0.74884,0.40601,1.64035,1.32537,1.44726,0.0018482,0.0018482,0.0018482
25,180.487,1.59073,1.20875,1.32806,0.7516,0.70992,0.77724,0.4193,1.67827,1.17055,1.41916,0.0018416,0.0018416,0.0018416
26,186.047,1.55953,1.17685,1.29951,0.75689,0.71514,0.76843,0.40165,1.70442,1.19981,1.45814,0.001835,0.001835,0.001835
27,191.566,1.57327,1.1862,1.31502,0.74935,0.69724,0.7582,0.40561,1.72827,1.32961,1.4899,0.0018284,0.0018284,0.0018284
28,197.136,1.55151,1.15268,1.29329,0.7746,0.7073,0.78414,0.42926,1.69831,1.21236,1.44414,0.0018218,0.0018218,0.0018218
29,202.716,1.54562,1.16487,1.29256,0.76439,0.70321,0.76834,0.40227,1.67586,1.17214,1.44234,0.0018152,0.0018152,0.0018152
30,208.323,1.54299,1.13365,1.29368,0.77212,0.72856,0.80126,0.42844,1.69525,1.12514,1.42889,0.0018086,0.0018086,0.0018086
31,213.896,1.5291,1.12662,1.28603,0.75853,0.74198,0.80597,0.46003,1.58265,1.11738,1.39286,0.001802,0.001802,0.001802
32,219.457,1.57264,1.17503,1.31105,0.78823,0.7047,0.78078,0.42317,1.64499,1.19865,1.43516,0.0017954,0.0017954,0.0017954
33,224.961,1.50224,1.11471,1.28154,0.76739,0.73312,0.80778,0.45444,1.60147,1.05944,1.40209,0.0017888,0.0017888,0.0017888
34,230.6,1.49995,1.09699,1.27759,0.75665,0.74124,0.81072,0.46475,1.58727,1.06707,1.39041,0.0017822,0.0017822,0.0017822
35,236.184,1.52288,1.13315,1.28931,0.78496,0.70544,0.79251,0.44545,1.61825,1.13041,1.42359,0.0017756,0.0017756,0.0017756
36,241.765,1.48089,1.09638,1.26944,0.77273,0.72515,0.80913,0.45488,1.59904,1.08075,1.39637,0.001769,0.001769,0.001769
37,247.318,1.49463,1.11027,1.26348,0.79177,0.71961,0.79273,0.42326,1.69408,1.1486,1.44774,0.0017624,0.0017624,0.0017624
38,252.919,1.49592,1.11071,1.26414,0.77016,0.72782,0.81176,0.4633,1.58307,1.12009,1.3912,0.0017558,0.0017558,0.0017558
39,258.533,1.47513,1.09686,1.25855,0.80767,0.72334,0.81322,0.46909,1.56037,1.05663,1.35681,0.0017492,0.0017492,0.0017492
40,264.127,1.47268,1.08288,1.25101,0.79566,0.72856,0.8062,0.45021,1.61536,1.05799,1.39309,0.0017426,0.0017426,0.0017426
41,269.744,1.46823,1.07546,1.25091,0.82059,0.73673,0.81774,0.46712,1.5501,1.02623,1.36907,0.001736,0.001736,0.001736
42,275.359,1.47208,1.06907,1.25001,0.77279,0.72409,0.79368,0.45268,1.59795,1.1296,1.39677,0.0017294,0.0017294,0.0017294
